,Confirmed,Country/Region,Deaths,Date,region,Recovered,Suspected,Time,Latitude,Longitude,Y,M,D,date_new
973,35.0,Mainland China,0.0,2-4-20,Inner Mongolia,1.0,0.0,3:03,43.2443242,114.3251664,2020,02,04,04-02-2020
974,34.0,Mainland China,0.0,2-4-20,Ningxia,1.0,0.0,2:13,37.0000001,105.9999999,2020,02,04,04-02-2020
975,29.0,Mainland China,0.0,2-4-20,Xinjiang,0.0,0.0,1:33,41.7574769,87.16738423046897,2020,02,04,04-02-2020
976,25.0,Thailand,0.0,2-4-20,Thailand,5.0,0.0,15:33,14.8971921,100.83273,2020,02,04,04-02-2020
977,24.0,Singapore,0.0,2-4-20,Singapore,0.0,0.0,15:33,1.357107,103.8194992,2020,02,04,04-02-2020
978,22.0,Japan,0.0,2-4-20,Japan,1.0,0.0,16:43,36.5748441,139.2394179,2020,02,04,04-02-2020
979,17.0,Hong Kong,1.0,2-4-20,Hong Kong,0.0,0.0,9:03,22.2793278,114.1628131,2020,02,04,04-02-2020
980,16.0,South Korea,0.0,2-4-20,South Korea,0.0,0.0,15:33,36.638392,127.6961188,2020,02,04,04-02-2020
981,15.0,Mainland China,0.0,2-4-20,Qinghai,0.0,0.0,1:33,35.40709525,95.95211573241954,2020,02,04,04-02-2020
982,12.0,Germany,0.0,2-3-20,Germany,0.0,0.0,20:53,51.0834196,10.4234469,2020,02,03,03-02-2020
983,11.0,Taiwan,0.0,2-4-20,Taiwan,0.0,0.0,14:53,23.9739374,120.9820179,2020,02,04,04-02-2020
984,10.0,Macau,0.0,2-4-20,Macau,0.0,0.0,4:43,22.1757605,113.5514142,2020,02,04,04-02-2020
985,10.0,Malaysia,0.0,2-4-20,Malaysia,0.0,0.0,7:33,4.5693754,102.2656823,2020,02,04,04-02-2020
986,8.0,Vietnam,0.0,2-3-20,Vietnam,1.0,0.0,21:43,13.2904027,108.4265113,2020,02,03,03-02-2020
987,6.0,France,0.0,2-1-20,France,0.0,0.0,1:52,46.603354,1.8883335,2020,02,01,01-02-2020
988,5.0,United Arab Emirates,0.0,2-2-20,United Arab Emirates,0.0,0.0,5:43,24.0002488,53.9994829,2020,02,02,02-02-2020
989,4.0,Australia,0.0,2-1-20,New South Wales,2.0,0.0,18:12,-31.8759835,147.2869493,2020,02,01,01-02-2020
990,4.0,Australia,0.0,2-1-20,Victoria,0.0,0.0,18:12,-36.5986096,144.6780052,2020,02,01,01-02-2020
991,3.0,Australia,0.0,2-4-20,Queensland,0.0,0.0,16:53,-22.1646782,144.5844903,2020,02,04,04-02-2020
992,3.0,India,0.0,2-3-20,India,0.0,0.0,21:43,22.3511148,78.6677428,2020,02,03,03-02-2020
993,2.0,Australia,0.0,2-2-20,South Australia,0.0,0.0,22:33,-30.5343665,135.6301212,2020,02,02,02-02-2020
994,2.0,Canada,0.0,2-4-20,"Toronto, ON",0.0,0.0,0:13,43.653963,-79.387207,2020,02,04,04-02-2020
995,2.0,Italy,0.0,1-31-20,Italy,0.0,0.0,8:15,42.6384261,12.674297,2020,01,31,31-01-2020
996,2.0,Philippines,1.0,2-2-20,Philippines,0.0,0.0,3:33,12.7503486,122.7312101,2020,02,02,02-02-2020
997,2.0,Russia,0.0,1-31-20,Russia,0.0,0.0,16:13,64.6863136,97.7453061,2020,01,31,31-01-2020
998,2.0,UK,0.0,2-1-20,UK,0.0,0.0,1:52,54.7023545,-3.2765753,2020,02,01,01-02-2020
999,2.0,US,0.0,2-1-20,"Chicago, IL",0.0,0.0,19:43,41.8755616,-87.6244212,2020,02,01,01-02-2020
1000,2.0,US,0.0,2-3-20,"San Benito, CA",0.0,0.0,3:53,36.6248089,-121.1177379,2020,02,03,03-02-2020
1001,2.0,US,0.0,2-3-20,"Santa Clara, CA",0.0,0.0,0:43,37.2333253,-121.6846349,2020,02,03,03-02-2020
1002,1.0,Belgium,0.0,2-4-20,Belgium,0.0,0.0,15:43,50.6402809,4.6667145,2020,02,04,04-02-2020
1003,1.0,Cambodia,0.0,1-31-20,Cambodia,0.0,0.0,8:15,13.5066394,104.869423,2020,01,31,31-01-2020
1004,1.0,Canada,0.0,2-1-20,British Columbia,0.0,0.0,18:12,55.001251,-125.002441,2020,02,01,01-02-2020
1005,1.0,Canada,0.0,2-4-20,"London, ON",0.0,0.0,0:03,42.9836747,-81.2496068,2020,02,04,04-02-2020
1006,1.0,Finland,0.0,1-31-20,Finland,0.0,0.0,8:15,63.2467777,25.9209164,2020,01,31,31-01-2020
1007,1.0,Mainland China,0.0,2-1-20,Tibet,0.0,0.0,1:52,31.894343149999997,87.07813712706509,2020,02,01,01-02-2020
1008,1.0,Nepal,0.0,1-31-20,Nepal,0.0,0.0,8:15,28.1083929,84.0917139,2020,01,31,31-01-2020
1009,1.0,Spain,0.0,2-1-20,Spain,0.0,0.0,23:43,39.3262345,-4.8380649,2020,02,01,01-02-2020
1010,1.0,Sri Lanka,0.0,1-31-20,Sri Lanka,0.0,0.0,8:15,7.5554942,80.7137847,2020,01,31,31-01-2020
1011,1.0,Sweden,0.0,2-1-20,Sweden,0.0,0.0,2:13,59.6749712,14.5208584,2020,02,01,01-02-2020
1012,1.0,US,0.0,2-1-20,"Boston, MA",0.0,0.0,19:43,42.3602534,-71.0582912,2020,02,01,01-02-2020
